id	lat	long
AB196667.1	34.07033333333334	139.47633333333334
AB695088.1	35.064388888888885	138.81799999999998
AB695089.1	35.064388888888885	138.81799999999998
AM259915.1	45.11666666666667	13.716666666666667
AY700600.1	-18.848333333333333	147.68333333333334
AY700601.1	-18.848333333333333	147.68333333333334
DQ884160.1	37.63472222222222	-0.6869444444444445
DQ884169.1	37.63472222222222	-0.6869444444444445
DQ884170.1	37.63472222222222	-0.6869444444444445
EU797579.3	32.752	-79.898
FJ202634.1	9.348694444444446	-82.2345
FJ347758.1	21.907194444444443	120.76916666666666
FJ930289.1	20.811083333333332	-156.60177777777778
FM162182.1	21.89966666666667	-93.43533333333333
FM162184.1	21.9	-93.44
FM162185.1	26.03	-84.92
FM162188.1	14.75	-44.98
FM244838.1	28.12	-89.14
GU118072.1	9.25	-82.11666666666666
GU118168.1	9.25	-82.11666666666666
GU118379.1	9.25	-82.11666666666666
GU118404.1	9.25	-82.11666666666666
GU118644.1	9.25	-82.11666666666666
GU118957.1	9.25	-82.11666666666666
GU118966.1	9.25	-82.11666666666666
GU183820.1	-23.8194	-45.4103
GU569894.1	21.87638888888889	120.72472222222223
GU784983.1	-9.737666666666666	143.42125
HE818343.1	37.06933333333334	-8.331138888888889
HM804435.1	28.79802777777778	48.3165
JN635416.1	22.666666666666668	121.46666666666667
JN635417.1	22.666666666666668	121.46666666666667
JN635418.1	22.666666666666668	121.46666666666667
JN635419.1	22.666666666666668	121.46666666666667
JN635420.1	22.666666666666668	121.46666666666667
JN635437.1	22.666666666666668	121.46666666666667
JN635438.1	22.666666666666668	121.46666666666667
JN635439.1	22.666666666666668	121.46666666666667
JN635440.1	22.666666666666668	121.46666666666667
JN635441.1	22.666666666666668	121.46666666666667
JN635442.1	22.666666666666668	121.46666666666667
JN635443.1	22.666666666666668	121.46666666666667
JN635444.1	22.666666666666668	121.46666666666667
JN635445.1	22.666666666666668	121.46666666666667
JN635446.1	22.666666666666668	121.46666666666667
JN848830.1	25.21361111111111	121.68911111111112
JQ691564.1	43.68611111111111	7.316666666666666
JQ691565.1	43.68611111111111	7.316666666666666
JQ691566.1	43.68611111111111	7.316666666666666
JQ691567.1	43.68611111111111	7.316666666666666
JQ691568.1	43.68611111111111	7.316666666666666
JX488684.2	26.30188888888889	-80.06977777777777
JX488685.1	25.529944444444443	-79.29855555555555
KC668414.1	19.873466666666666	40.079483333333336
KC668415.1	19.873466666666666	40.079483333333336
KC668416.1	19.873466666666666	40.079483333333336
KC668417.1	19.873466666666666	40.079483333333336
KC668418.1	19.873466666666666	40.079483333333336
KC668575.1	19.873466666666666	40.079483333333336
KC668576.1	19.873466666666666	40.079483333333336
KC668577.1	19.873466666666666	40.079483333333336
KC668578.1	19.873466666666666	40.079483333333336
KC668579.1	19.873466666666666	40.079483333333336
KC668823.1	18.6751	40.73921666666667
KC668824.1	18.6751	40.73921666666667
KC668825.1	18.6751	40.73921666666667
KC668826.1	18.6751	40.73921666666667
KC668827.1	18.6751	40.73921666666667
KC669000.1	18.6751	40.73921666666667
KC669001.1	18.6751	40.73921666666667
KC669002.1	19.897983333333332	40.01485
KC669003.1	19.897983333333332	40.01485
KC669004.1	19.897983333333332	40.01485
KF428127.1	24.935555555555556	-81.83730555555555
KF428128.1	24.935555555555556	-81.83730555555555
KF428129.1	24.935555555555556	-81.83730555555555
KF428138.1	24.935555555555556	-81.83730555555555
KF428139.1	24.935555555555556	-81.83730555555555
KJ372479.1	-22.746944444444445	-41.88166666666667
KM360453.1	-18.60938888888889	146.48677777777777
KM360460.1	-18.60938888888889	146.48677777777777
KM360464.1	-18.60938888888889	146.48677777777777
KT964903.1	41.833333333333336	8.75
KX611231.1	50.56888888888889	8.672777777777776
KY798517.1	50.56888888888889	8.672777777777776
LN875493.1	21.87638888888889	120.72472222222223
LN879492.1	21.87638888888889	120.72472222222223
MG725756.1	22.30555	38.9628
MG725757.1	22.30555	38.9628
MG725758.1	22.30555	38.9628
MG725759.1	22.30555	38.9628
MG725760.1	22.30555	38.9628
MG896169.1	5.61888888888889	103.05433333333333
MG896171.1	5.61888888888889	103.05433333333333
MG896176.1	5.61888888888889	103.05433333333333
MG896185.1	5.61888888888889	103.05433333333333
MG896199.1	5.61888888888889	103.05433333333333
MW540618.1	22.251666666666665	38.96072222222222
MW540619.1	22.252777777777776	38.96072222222222
OL957474.1	21.938944444444445	120.74572222222223
OL957475.1	21.938944444444445	120.74572222222223
OL957476.1	21.938944444444445	120.74572222222223
OL957477.1	21.938944444444445	120.74572222222223
OL957478.1	21.938944444444445	120.74572222222223
OL957502.1	26.62838888888889	127.85988888888889
OL957503.1	26.62838888888889	127.85988888888889
OL957504.1	26.62838888888889	127.85988888888889
OL957505.1	26.62838888888889	127.85988888888889
OL957506.1	26.62838888888889	127.85988888888889
OM273412.1	25.198333333333334	-80.50333333333333
OM273416.1	25.198333333333334	-80.50333333333333
NZ_JAEVHF010000042.1:129-1670	37.401666666666664	130.22677777777778
NZ_PZJW01000013.1:348-1887	40.65888888888889	-8.811111111111112
NZ_FWPT01000026.1:38-1347	50.56888888888889	8.672777777777776
NZ_SMME01000314.1:1-536	24.0776	-74.476
NZ_QWBW01000001.1:22479-24016	-17.96333333333333	38.69166666666666
NZ_ML660176.1:3799-5337	21.061666666666667	109.14305555555556
